FR.SNCF.76;Lutzelhouse;48.5183482;7.2903872;Alsace;*
FR.SNCF.77;Marienthal;48.7810481;7.821786;Alsace;*
FR.SNCF.78;Matzenheim;48.4207345;7.650091;Alsace;*
FR.SNCF.79;Mertzwiller;48.870098;7.6797366;Alsace;*
FR.SNCF.80;Merxheim;47.9122977;7.2980297;Alsace;*
FR.SNCF.81;Metzéral;48.0128654;7.0728974;Alsace;*
FR.SNCF.82;Molsheim;48.5390556;7.4960873;Alsace;*
FR.SNCF.83;Mommenheim;48.7565535;7.6423546;Alsace;*
FR.SNCF.84;Montreux-Vieux;47.6177246;7.0243233;Alsace;*
FR.SNCF.85;Moosch;47.8618438;7.0521165;Alsace;*
FR.SNCF.86;Mothern;48.9648899;8.1811;Alsace;*
FR.SNCF.87;Muhlbach-sur-Munster;48.0246331;7.0873337;Alsace;*
FR.SNCF.88;Mulhouse-Dornach;47.7469683;7.3089948;Alsace;*
FR.SNCF.89;Mulhouse;47.7422382;7.3427296;Alsace;*
FR.SNCF.90;Mullerhof;48.3181795;7.4416241;Alsace;*
FR.SNCF.91;Munchhausen;48.9234052;8.1413828;Alsace;*
FR.SNCF.92;Mundolsheim;48.6440638;7.7193175;Alsace;*
FR.SNCF.93;Munster;48.0399209;7.13392;Alsace;*
FR.SNCF.94;Munster-Badischhof;48.3181795;7.4416241;Alsace;*
FR.SNCF.95;Mutzig;48.5341102;7.4618731;Alsace;*
FR.SNCF.96;Niederbronn-les-Bains;48.9531188;7.6348306;Alsace;*
FR.SNCF.97;Obermodern;48.8427567;7.5508337;Alsace;*
FR.SNCF.98;Obernai;48.4609886;7.4369473;Alsace;*
FR.SNCF.99;Oderen;47.9106291;6.9737188;Alsace;*
FR.SNCF.100;Oermingen;48.9990517;7.1298621;Alsace;*
FR.SNCF.101;Raedersheim;47.8876156;7.2834031;Alsace;*
FR.SNCF.102;Reichshoffen-Ville;48.870098;7.6797366;Alsace;*
FR.SNCF.103;Ribeauvillé;48.1874591;7.3726139;Alsace;*
FR.SNCF.104;Richwiller;47.7849729;7.2647526;Alsace;*
FR.SNCF.105;Riedseltz;48.9914582;7.9626989;Alsace;*
FR.SNCF.106;Rixheim;47.750505;7.4027668;Alsace;*
FR.SNCF.107;Roeschwoog;48.8303955;8.0323026;Alsace;*
FR.SNCF.108;Roppenheim;48.8303955;8.0323026;Alsace;*
