DUINBERGEN;51.338108;3.26295
ECAUSSINNES;50.5621;4.156094
EDE;50.911203;3.987761
EDINGEN;50.697198;4.04725
EEKLO;51.180567;3.575256
EICHEM;50.823878;3.993659
EIGENBRAKEL;50.684778;4.375525
EINE;50.871008;3.623697
EKE NAZARETH;50.961558;3.627192
EKEREN;51.277214;4.433047
ENGHIEN;50.697198;4.04725
ENGIS;50.582964;5.401992
EPPEGEM;50.9584;4.457486
ERBISOEUL;50.507814;3.888717
EREMBODEGEM;50.919302;4.055543
ERNAGE;50.592412;4.667119
ERPE MERE;50.928603;3.962461
ERPS KWERPS;50.896506;4.584997
ERQUELINNES;50.304189;4.113564
ERQUELINNES VILLAGE;50.309539;4.130281
ESNEUX;50.529628;5.572658
ESSEN;51.462736;4.451106
ESSENE LOMBEEK;50.882447;4.115169
ETTERBEEK;50.821208;4.390222
EUPEN;50.635164;6.037114
EVERE;50.868281;4.4012
EZEMAAL;50.772131;4.994222
FAMILLEUREUX;50.519364;4.211575
FARCIENNES;50.435567;4.565091
FAUX;50.621833;4.549264
FEXHE LE HAUT CLOCHER;50.664364;5.397297
FLAWINNE;50.456244;4.8063
FLEMALLE GRANDE;50.605352;5.480983
FLEMALLE HAUTE;50.594591;5.456364
FLEURUS;50.481021;4.542909
FLOREE;50.357516;5.056275
FLOREFFE;50.443733;4.762781
FLORENVILLE;49.706969;5.331119
FLORIVAL;50.761503;4.653873
FONTAINE VALMONT;50.320439;4.211775
FORCHIES;50.43305;4.323483
FOREST EST;50.810204;4.320936
FOREST MIDI;50.810158;4.310025
FORRIERES;50.133072;5.276572
FRAIPONT;50.565414;5.723475
FRAMERIES;50.405539;3.906314
FRANCHIMONT;50.525214;5.822594
FRANIERE;50.439544;4.733547
FROYENNES;50.629856;3.355508
GALMAARDEN;50.743998;3.964938
GASTUCHE;50.736647;4.649597
GAVERE ASPER;50.930558;3.638958
GEDINNE;49.984133;4.977867
GEEL;51.169244;4.989567
GEMBLOUX;50.571292;4.690778
GENDRON CELLES;50.210804;4.964598
GENK;50.967056;5.49803
GENLY;50.390639;3.911636
GENT DAMPOORT;51.05665;3.740491
GENT SINT PIETERS;51.035763;3.710232
GENTBRUGGE;51.038714;3.755975
GENVAL;50.726408;4.513725
GERAARDSBERGEN;50.771025;3.871956
GHLIN;50.487408;3.906342
GLONS;50.750543;5.535468
GODARVILLE;50.4928;4.290314
GODINNE;50.348908;4.869961
GONTRODE;50.979844;3.801559
GOUVY;50.189414;5.953908
GOUY LEZ PIETON;50.4957;4.325064
GRAIDE;49.933789;5.043708
GROENENDAAL;50.76614;4.44935
GROOT BIJGAARDEN;50.868231;4.27455
GRUPONT;50.090622;5.280228
HAACHT;50.966238;4.613314
HAALTERT;50.907375;4.021797
HABAY;49.718619;5.632569
HAININ;50.428042;3.766787
HAL;50.7332;4.2395
HALLE;50.7332;4.2395
HAM SUR HEURE;50.320539;4.405086
HAM SUR SAMBRE;50.452852;4.672923
HAMBOS;50.944247;4.663011
HAMOIR;50.428342;5.53373
HANSBEKE;51.072708;3.537447
HARCHIES;50.481939;3.699
HARELBEKE;50.856308;3.314617
HAREN;50.889231;4.419825
HAREN SUD;50.889567;4.415109
HAREN ZUID;50.889567;4.415109
HASSELT;50.931122;5.32618
HAUTE FLONE;50.554331;5.331097
HAVERSIN;50.249672;5.194081
HAVRE;50.470739;4.058311
HEIDE;51.365344;4.461131
HEIST;51.334008;3.240611
HEIST OP DEN BERG;51.073517;4.709361
HEIZIJDE;50.988814;4.157117
HEMIKSEM;51.136393;4.338527
HENNUYERES;50.651008;4.175892
HERENT;50.903528;4.672189
HERENTALS;51.181;4.828608
HERNE;50.723701;4.014376
HERSEAUX;50.71425;3.244758
HERSTAL;50.6604;5.62235
HERZELE;50.897203;3.879358
HEUSDEN;51.038314;5.280683
HEVER;50.996904;4.539585
HEVERLEE;50.862442;4.694414
HILLEGEM;50.891303;3.857472
HOBOKEN POLDER;51.183414;4.348442
HOEI;50.527239;5.234206
HOEILAART;50.760158;4.467406
HOFSTADE;50.988661;4.498342
HOLLEKEN;50.767081;4.354914
HONY;50.540336;5.573494
HOURAING;50.702879;3.835269
HOURPES;50.363689;4.308742
HOUYET;50.190339;5.005861
HOVE;51.154114;4.465469
HUIZINGEN;50.75171;4.265581
HUY;50.527239;5.234206
IDDERGEM;50.876855;4.068503
IDEGEM;50.801704;3.921411
IEPER;50.8474;2.876589
INGELMUNSTER;50.914758;3.254289
IZEGEM;50.920958;3.21335
JAMBES;50.454014;4.87536
JAMBES EST;50.454804;4.880256
JAMIOULX;50.353039;4.410997
JEMAPPES;50.452289;3.885189
JEMELLE;50.160472;5.266375
JEMEPPE SUR MEUSE;50.61843;5.49779
JEMEPPE SUR SAMBRE;50.450949;4.662626
JETTE;50.88091;4.328463
JURBISE;50.530503;3.910686
JUSLENVILLE;50.544514;5.810194
KALMTHOUT;51.389744;4.466942
KAPELLE OP DEN BOS;51.010795;4.358819
KAPELLEN;51.313375;4.433081
KESSEL;51.151056;4.618458
KIEWIT;50.954364;5.350553
KIJKUIT;51.379236;4.467533
KNOKKE;51.339608;3.284097
KOKSIJDE;51.078667;2.654107
KOMEN;50.77225;2.999117
KONTICH;51.13364;4.476695
KORTEMARK;51.025358;3.043867
KORTENBERG;50.893072;4.543297
KORTRIJK;50.824339;3.265676
KWATRECHT;50.991464;3.833333
LA HULPE;50.737958;4.497064
LA LOUVIERE CENTRE;50.477773;4.179965
LA LOUVIERE SUD;50.465017;4.190115
LA ROCHE;50.610336;4.539158
LABUISSIERE;50.316139;4.186581
LANDEGEM;51.064114;3.576889
LANDELIES;50.377314;4.350981
LANDEN;50.747925;5.079658
LANDSKOUTER;50.970664;3.791227
LANGDORP;51.002469;4.863539
LE CAMPINAIRE;50.429587;4.552951
LEBBEKE;51.004606;4.134544
LEDE;50.970903;3.984975
LEIGNON;50.267772;5.107781
LEMAN;50.5995;5.467
LEMBEEK;50.715108;4.221581
LENS;50.559128;3.903279
LEOPOLDSBURG;51.117314;5.257289
LESSINES;50.712947;3.836492
LEUVEN;50.881356;4.716096
LEUZE;50.600576;3.61677
LEVAL;50.4308;4.211044
LIBRAMONT;49.920425;5.379272
LICHTERVELDE;51.025281;3.126908
LIEDEKERKE;50.882525;4.095286
LIEGE GUILLEMINS;50.622935;5.568461
LIEGE JONFOSSE;50.6403;5.561125
LIEGE PALAIS;50.64705;5.57255
LIER;51.136022;4.561579
LIERDE;50.816822;3.825947
LIERS;50.698464;5.566533
LIGNY;50.511514;4.565608
LILLOIS;50.643742;4.363247
LIMAL;50.692144;4.575297
LINKEBEEK;50.773331;4.339781
LISSEWEGE;51.294708;3.194506
LOBBES;50.346384;4.260988
LODELINSART;50.43245;4.462947
LOKEREN;51.107103;3.985283
LOMMEL;51.211664;5.310547
LONDERZEEL;51.009519;4.296936
LONZEE;50.551939;4.720097
LOT;50.765175;4.272426
LOUVAIN LA NEUVE UNIV;50.6697;4.616
LUSTIN;50.369746;4.877468
LUTTRE;50.505864;4.384119
MAFFLE;50.614031;3.800459
MALDEREN;51.014325;4.231403
MANAGE;50.506114;4.234678
MARBEHAN;49.728319;5.539533
MARCHE EN FAMENNE;50.222472;5.346294
MARCHE LES DAMES;50.480739;4.964581
MARCHE LEZ ECAUSSINNES;50.545931;4.176558
MARCHIENNE AU PONT;50.412173;4.394223
MARCHIENNE ZONE;50.397166;4.389017
MARIA AALTER;51.107608;3.386725
MARIEMBOURG;50.095489;4.525694
MARLOIE;50.203115;5.31456
MASNUY SAINT PIERRE;50.536547;3.962139
MAUBRAY;50.546947;3.495487
MAZY;50.513503;4.675825
MECHELEN;51.01758;4.48313
MECHELEN NEKKERSPOEL;51.030012;4.489986
MEISER;50.854558;4.394025
MELKOUWEN;51.095064;4.671031
MELLE;51.002814;3.797086
MELREUX HOTTON;50.283672;5.440142
MELSELE;51.210714;4.288533
MENEN;50.799492;3.113794
MERCHTEM;50.953853;4.223492
MERELBEKE;51.020153;3.764963
MERODE;50.839881;4.399058
MERY;50.548233;5.586942
MEVERGNIES ATTRE;50.600333;3.833003
MILMORT;50.693364;5.599325
MOENSBERG;50.777909;4.32979
MOL;51.191064;5.114733
MOLLEM;50.932808;4.21675
MOMALLE;50.669911;5.367597
MONS;50.45445;3.942303
MONT SAINT GUIBERT;50.638214;4.612581
MOORTSELE;50.953053;3.78055
MORLANWELZ;50.458;4.247367
MORTSEL;51.190291;4.440127
MORTSEL DEURNESTEENWEG;51.186039;4.44383
MORTSEL OUDE GOD;51.171914;4.455511
MOUSCRON;50.738372;3.225307
MOUSTIER;50.452754;4.693809
MUIZEN;51.008203;4.513839
MUNKZWALM;50.875853;3.731544
NAMECHE;50.470381;4.998369
NAMUR;50.469156;4.862057
NANINNE;50.419394;4.930342
NATOYE;50.343358;5.0612
NEERPELT;51.222414;5.436692
NEERWINDEN;50.763964;5.036322
NESSONVAUX;50.572043;5.741708
NEUFCHATEAU;49.853819;5.452592
NEUFVILLES;50.543597;4.010669
NIEL;51.110917;4.340583
NIEUWKERKEN WAAS;51.185114;4.184414
NIJLEN;51.159717;4.664447
NIJVEL;50.600536;4.334678
NIMY;50.471812;3.956505
NINOVE;50.839504;4.026242
NIVELLES;50.600536;4.334678
NOSSEGEM;50.883308;4.506108
OBAIX BUZET;50.535765;4.363632
OBOURG;50.469539;4.008558
OKEGEM;50.857256;4.053542
OLEN;51.17403;4.9025
OOSTENDE;51.226518;2.927904
OOSTKAMP;51.154108;3.257467
OPWIJK;50.974503;4.187442
OTTIGNIES;50.671632;4.569615
OUD HEVERLEE;50.835928;4.653306
OUDEGEM;51.014903;4.062361
OUDENAARDE;50.850558;3.600803
OVERPELT;51.21555;5.423126
PALISEUL;49.894789;5.118997
PAPIGNIES;50.687817;3.823797
PECROT;50.779208;4.651031
PEPINSTER;50.568814;5.808247
PEPINSTER CITE;50.563381;5.804611
PERUWELZ;50.513639;3.592061
PHILIPPEVILLE;50.191639;4.535958
PIETON;50.434964;4.288444
POIX SAINT HUBERT;50.019772;5.292058
PONT A CELLES;50.5136;4.354139
PONT DE SERAING;50.619968;5.511328
POPERINGE;50.854421;2.736304
POULSEUR;50.508958;5.57819
PROFONDSART;50.693761;4.54915
PRY;50.268789;4.430361
PUURS;51.077219;4.283558
QUAREGNON;50.450039;3.855461
QUEVY;50.341517;3.909245
QUIEVRAIN;50.410514;3.686067
REBAIX;50.661058;3.793502
REMICOURT;50.678608;5.321406
RHISNES;50.499347;4.801872
RIVAGE;50.486422;5.585186
RIXENSART;50.711414;4.532861
ROESELARE;50.949358;3.130358
RONET;50.457735;4.828415
RONSE;50.742508;3.60255
ROUX;50.443114;4.393197
RUISBROEK;50.791831;4.295328
SAUVEGARDE;51.081313;4.336987
SAINT DENIS BOVESSE;50.521297;4.767792
SAINT GHISLAIN;50.442625;3.820092
SAINT JOB;50.79362;4.360403
SART BERNARD;50.406617;4.948467
SCHAARBEEK;50.878508;4.378644
SCHAERBEEK;50.878508;4.378644
SCHELDEWINDEKE;50.937803;3.777614
SCHELLEBELLE;51.003153;3.921372
SCHENDELBEKE;50.797818;3.899159
SCHOONAARDE;51.003116;4.011276
SCHULEN;50.96335;5.188078
SCLAIGNEAUX;50.492204;5.026374
SCLESSIN;50.610396;5.556722
SERSKAMP;50.984403;3.959356
'S GRAVENBRAKEL;50.605075;4.137658
SILLY;50.663319;3.937144
S'INAAI;51.143403;4.068942
SINT AGATHA BERCHEM;50.872831;4.290961
SINT DENIJS BOEKEL;50.874303;3.698397
SINT GENESIUS RODE;50.748081;4.361492
SINT GILLIS;51.021925;4.11715
SINT JOB;50.79362;4.360403
SINT JORIS WEERT;50.8013;4.65195
SINT KATELIJNE WAVER;51.070931;4.495481
SINT MARIABURG;51.292714;4.434961
SINT MARTENS BODEGEM;50.867158;4.205081
SINT NIKLAAS;51.17174;4.14315
SINT TRUIDEN;50.817617;5.17665
SLEIDINGE;51.126428;3.66776
SOIGNIES;50.573447;4.069142
SOLRE SUR SAMBRE;50.312639;4.158431
SPA;50.490163;5.855831
SPA-GERONSTERE;50.489296;5.866227
STATTE;50.528283;5.219678
STOCKEM;49.690736;5.767712
SY;50.403122;5.523094
TAMINES;50.432088;4.608861
TEMSE;51.125914;4.221817
TERHAGEN;50.902003;3.897361
TERHULPEN;50.737958;4.497064
TERNAT;50.874519;4.165342
TESTELT;51.009864;4.945833
THEUX;50.536314;5.815186
THIEU;50.469539;4.098522
THUIN;50.342739;4.288914
THULIN;50.423789;3.745783
TIELEN;51.241017;4.893089
TIELT;50.990058;3.328611
TIENEN;50.808022;4.925814
TILFF;50.570464;5.582514
TILLY;50.556742;4.551353
TOLLEMBEEK;50.735382;3.992833
TONGEREN;50.784214;5.473222
TORHOUT;51.064708;3.105869
TOURNAI;50.613125;3.396936
TROIS PONTS;50.369264;5.872817
TROOZ;50.573337;5.688504
TUBIZE;50.691708;4.205725
TURNHOUT;51.322775;4.937564
UCCLE CALEVOET;50.792131;4.331383
UCCLE STALLE;50.802431;4.323539
UKKEL KALEVOET;50.792131;4.331383
UKKEL STALLE;50.802431;4.323539
VELTEM;50.900519;4.633522
VERTRIJK;50.8359;4.836591
VERVIERS CENTRAL;50.587821;5.854597
VERVIERS PALAIS;50.590961;5.865262
VEURNE;51.073897;2.669742
VIANE MOERBEKE;50.751914;3.917055
VICHTE;50.833558;3.392842
VIELSALM;50.278814;5.909
VIJFHUIZEN;50.943327;3.982651
VILLE POMMEROEUL;50.464339;3.724189
VILLERS LA VILLE;50.578028;4.533432
VILVOORDE;50.924208;4.432583
VIRTON;49.560932;5.518441
VISE;50.740296;5.692835
VIVILLE;49.688369;5.785497
VOROUX GOREUX;50.660752;5.431066
VORST OOST;50.810204;4.320936
VORST ZUID;50.810158;4.310025
WAARSCHOOT;51.154608;3.615353
WALCOURT;50.258639;4.435336
WAREGEM;50.892458;3.425514
WAREMME;50.694725;5.248986
WATERLOO;50.715558;4.382925
WATERMAAL;50.809691;4.399692
WATERMAEL;50.809691;4.399692
WAVER;50.716272;4.604783
WAVRE;50.716272;4.604783
WEERDE;50.977411;4.470292
WELKENRAEDT;50.659464;5.974261
WELLE;50.903375;4.050922
WERVIK;50.781861;3.046975
WESPELAAR TILDONK;50.958297;4.637489
WETTEREN;51.001603;3.881881
WEVELGEM;50.811017;3.182533
WEZEMAAL;50.956206;4.748314
WICHELEN;51.001903;3.974897
