NL.NS.GVMW;Den Haag Moerwijk;52.054714;4.308572;
NL.NS.YPB;Den Haag Ypenburg;52.056267;4.389485;
NL.NS.HDR;Den Helder;52.95638; 4.7609;
NL.NS.HDRZ;Den Helder Zuid;52.93323; 4.76391;
NL.NS.DN;Deurne;51.45632; 5.78808;
NL.NS.DV;Deventer;52.25744; 6.1612;
NL.NS.DVC;Deventer Colmschate;52.25061; 6.2155;
NL.NS.DVNK;De Vink;52.14687; 4.45578;
NL.NS.DID;Didam;51.93363; 6.13247;
NL.NS.DMN;Diemen;52.34579; 4.96728;
NL.NS.DMNZ;Diemen Zuid;52.3307; 4.95622;
NL.NS.DR;Dieren;52.04508; 6.10304;
NL.NS.DTC;Doetinchem;51.95862; 6.29621;
NL.NS.DTCH;De Huet;51.9594; 6.25982;
NL.NS.DDR;Dordrecht;51.80756; 4.66777;
NL.NS.DDRS;Dordrecht Stadspolders;51.80213; 4.71701;
NL.NS.DDZD;Dordrecht Zuid;51.79039; 4.6715;
NL.NS.DB;Driebergen-Zeist;52.06554; 5.25994;
NL.NS.DRH;Driehuis;52.44339; 4.63931;
NL.NS.DRP;Dronrijp;53.17801; 5.63468;
NL.NS.DVN;Duiven;51.9436; 6.01465;
NL.NS.DVD;Duivendrecht;52.32392; 4.93648;
NL.NS.EC;Echt;51.10067; 5.87892;
NL.NS.EDC;Ede Centrum;52.04377; 5.6682;
NL.NS.ED;Ede-Wageningen;52.02811; 5.67157;
NL.NS.EHV;Eindhoven;51.44321; 5.47953;
NL.NS.EHB;Eindhoven Beukenlaan;51.45042; 5.45728;
NL.NS.EHS;Eindhoven Stadion;0.0; 0.0;
NL.NS.EST;Elst;51.91726; 5.85509;
NL.NS.EMN;Emmen;52.79086; 6.89975;
NL.NS.EMNB;Emmen Bargeres;52.75821; 6.88997;
NL.NS.EKZ;Enkhuizen;52.69975; 5.28767;
NL.NS.ES;Enschede;52.22281; 6.89018;
NL.NS.ESE;Enschede De Eschmarke;52.221; 6.95083;
NL.NS.ESD;Enschede Drienerlo;0.0; 0.0;
