BE.NMBS.82;'S GRAVENBRAKEL;50.605075;4.137658;205;
BE.NMBS.1;AALST;50.943053;4.038586;6;
BE.NMBS.2;AALST KERREBROEK;50.948316;4.024773;104;
BE.NMBS.3;AALTER;51.092258;3.447856;8;
BE.NMBS.25;AARLEN;49.679975;5.810614;70;
BE.NMBS.4;AARSCHOT;50.984408;4.824036;9;
BE.NMBS.5;AARSELE;50.984458;3.418361;10;
BE.NMBS.28;AAT;50.6271;3.776406;77;
BE.NMBS.6;ACREN;50.732936;3.846683;12;
BE.NMBS.7;AISEAU;50.429545;4.584378;16;
BE.NMBS.8;ALKEN;50.886419;5.29173;19;
BE.NMBS.1;ALOST;50.943053;4.038586;6;
BE.NMBS.9;AMAY;50.546006;5.320489;22;
BE.NMBS.10;AMPSIN;50.539236;5.288855;24;
BE.NMBS.11;ANDENNE;50.496799;5.095972;25;
BE.NMBS.12;ANGLEUR;50.61253;5.600949;27;
BE.NMBS.13;ANS;50.661214;5.509703;31;
BE.NMBS.14;ANSEREMME;50.238016;4.905525;34;
BE.NMBS.15;ANTOING;50.569628;3.451308;35;
BE.NMBS.16;ANTWERPEN BERCHEM;51.198914;4.4332;139;
BE.NMBS.17;ANTWERPEN CENTRAAL;51.21686;4.421242;37;
BE.NMBS.18;ANTWERPEN DAM;51.231782;4.426479;38;
BE.NMBS.19;ANTWERPEN NOORDERDOKK;51.264045;4.42874;58;
BE.NMBS.19;ANTWERPEN NOORDERDOKKEN;51.264045;4.42874;58;
BE.NMBS.20;ANTWERPEN OOST;51.206616;4.434799;61;
BE.NMBS.21;ANTWERPEN ZUID;51.197514;4.392258;64;
BE.NMBS.16;ANVERS BERCHEM;51.198914;4.4332;139;
BE.NMBS.17;ANVERS CENTRAL;51.21686;4.421242;37;
BE.NMBS.18;ANVERS DAM;51.231782;4.426479;38;
BE.NMBS.20;ANVERS EST;51.206616;4.434799;61;
BE.NMBS.19;ANVERS NOORDERDOKKEN;51.264045;4.42874;58;
BE.NMBS.21;ANVERS SUD;51.197514;4.392258;64;
BE.NMBS.22;ANZEGEM;50.826208;3.495469;66;
BE.NMBS.23;APPELTERRE;50.81345;3.972025;67;
BE.NMBS.24;ARCHENNES;50.754337;4.662366;68;
BE.NMBS.25;ARLON;49.679975;5.810614;70;
BE.NMBS.26;ASSE;50.906731;4.208422;74;
BE.NMBS.27;ASSESSE;50.36855;5.021306;75;
BE.NMBS.28;ATH;50.6271;3.776406;77;
BE.NMBS.416;AUDENARDE;50.850558;3.600803;939;
BE.NMBS.29;AUVELAIS;50.44917;4.6307;82;
BE.NMBS.30;AYE;50.224872;5.300689;100;
BE.NMBS.31;AYWAILLE;50.473014;5.672483;84;
BE.NMBS.32;BAASRODE SUD;51.019236;4.153992;102;
BE.NMBS.32;BAASRODE ZUID;51.019236;4.153992;102;
BE.NMBS.33;BALEGEM DORP;50.919953;3.7907;105;
BE.NMBS.34;BALEGEM SUD;50.900803;3.805767;106;
BE.NMBS.33;BALEGEM VILLAGE;50.919953;3.7907;105;
BE.NMBS.34;BALEGEM ZUID;50.900803;3.805767;106;
BE.NMBS.35;BALEN;51.168314;5.16605;107;
BE.NMBS.36;BAMBRUGGE;50.913903;3.935661;110;
BE.NMBS.37;BARVAUX;50.349541;5.502133;114;
BE.NMBS.38;BAS OHA;50.522625;5.190939;118;
BE.NMBS.39;BASSE WAVRE;50.724184;4.621178;120;
BE.NMBS.40;BASTENAKEN NOORD;50.00716;5.721388;124;
BE.NMBS.41;BASTENAKEN ZUID;49.99963;5.709672;123;
BE.NMBS.40;BASTOGNE NORD;50.00716;5.721388;124;
BE.NMBS.41;BASTOGNE SUD;49.99963;5.709672;123;
BE.NMBS.42;BEAURAING;50.113836;4.957029;126;
BE.NMBS.43;BEERNEM;51.128008;3.329886;127;
BE.NMBS.44;BEERSEL;50.766404;4.302274;128;
BE.NMBS.45;BEGIJNENDIJK;51.021972;4.800344;132;
BE.NMBS.46;BEIGNEE;50.333239;4.406797;133;
BE.NMBS.47;BELLEM;51.083908;3.487367;136;
BE.NMBS.48;BELSELE;51.150903;4.089164;138;
BE.NMBS.49;BERCHEM SAINTE AGATHE;50.872831;4.290961;243;
BE.NMBS.378;BERGEN;50.45445;3.942303;848;
BE.NMBS.50;BERINGEN;51.076814;5.231867;143;
BE.NMBS.51;BERLAAR;51.113708;4.638258;142;
BE.NMBS.52;BERTRIX;49.852199;5.267703;146;
BE.NMBS.53;BERZEE;50.285589;4.405942;147;
BE.NMBS.54;BEUZET;50.532914;4.750092;148;
BE.NMBS.55;BEVEREN;51.20845;4.26052;151;
BE.NMBS.55;BEVEREN ;51.20845;4.26052;151;
BE.NMBS.56;BIERGES WALIBI;50.707772;4.594753;153;
BE.NMBS.57;BIERSET AWANS;50.658614;5.46055;155;
BE.NMBS.58;BILZEN;50.86869;5.50918;157;
BE.NMBS.59;BINCHE;50.408764;4.172453;158;
BE.NMBS.60;BISSEGEM;50.825844;3.224047;160;
BE.NMBS.61;BLANKENBERGE;51.312431;3.133862;166;
BE.NMBS.62;BLANMONT;50.619447;4.636386;167;
BE.NMBS.63;BLATON;50.505939;3.665675;169;
BE.NMBS.64;BLERET;50.685161;5.28599;171;
BE.NMBS.65;BOCKSTAEL;50.879428;4.348507;1767;
BE.NMBS.66;BOECHOUT;51.163828;4.494047;177;
BE.NMBS.67;BOITSFORT;50.794458;4.407986;183;
BE.NMBS.68;BOKRIJK;50.955514;5.408728;184;
BE.NMBS.69;BOMAL;50.37691;5.519342;185;
BE.NMBS.70;BOOISCHOT;51.0375;4.772797;187;
BE.NMBS.71;BOOM;51.091006;4.360297;188;
BE.NMBS.72;BOONDAAL;50.801975;4.393523;189;
BE.NMBS.72;BOONDAEL;50.801975;4.393523;189;
BE.NMBS.73;BOORTMEERBEEK;50.98185;4.573897;190;
BE.NMBS.74;BORDET;50.877782;4.409992;191;
BE.NMBS.75;BORGWORM;50.694725;5.248986;1213;
BE.NMBS.76;BORNEM;51.098819;4.240431;192;
BE.NMBS.77;BOSVOORDE;50.794458;4.407986;183;
BE.NMBS.316;BOURG LEOPOLD;51.117314;5.257289;708;
BE.NMBS.78;BOUSSU;50.436239;3.79585;195;
BE.NMBS.79;BOUWEL;51.165844;4.747581;199;
BE.NMBS.80;BRACQUEGNIES;50.474413;4.126332;201;
