trainnumber,occupancy,occupancyAmount,weekday,from,to
IC1529,1,2,1,http://irail.be/stations/NMBS/008831005,http://irail.be/stations/NMBS/008831039
IC1529,1,2,1,http://irail.be/stations/NMBS/008831039,http://irail.be/stations/NMBS/008831807
IC1529,1,2,1,http://irail.be/stations/NMBS/008831807,http://irail.be/stations/NMBS/008833605
IC1529,1,2,1,http://irail.be/stations/NMBS/008833605,http://irail.be/stations/NMBS/008833308
IC1529,1,2,1,http://irail.be/stations/NMBS/008833308,http://irail.be/stations/NMBS/008833001
IC1529,1.5,2,1,http://irail.be/stations/NMBS/008833001,http://irail.be/stations/NMBS/008812005
IC1529,1,2,1,http://irail.be/stations/NMBS/008812005,http://irail.be/stations/NMBS/008813003

P7305,1,1,1,http://irail.be/stations/NMBS/008831005,http://irail.be/stations/NMBS/008831401
P7305,1,1,1,http://irail.be/stations/NMBS/008831401,http://irail.be/stations/NMBS/008833209
P7305,1,1,1,http://irail.be/stations/NMBS/008833209,http://irail.be/stations/NMBS/008812005
P7305,1,1,1,http://irail.be/stations/NMBS/008812005,http://irail.be/stations/NMBS/008813003

IC1907,1,1,1,http://irail.be/stations/NMBS/008883311,http://irail.be/stations/NMBS/008814308
IC1907,1,1,1,http://irail.be/stations/NMBS/008814308,http://irail.be/stations/NMBS/008814001

P7515,1,1,1,http://irail.be/stations/NMBS/008883311,http://irail.be/stations/NMBS/008814001

IC3206,1,1,1,http://irail.be/stations/NMBS/008883311,http://irail.be/stations/NMBS/008814308
IC3206,1,1,1,http://irail.be/stations/NMBS/008814308,http://irail.be/stations/NMBS/008814001

S61556,1,1,1,http://irail.be/stations/NMBS/008883311,http://irail.be/stations/NMBS/008814308
S61556,1,1,1,http://irail.be/stations/NMBS/008814308,http://irail.be/stations/NMBS/008814001

P7012,2,1,1,http://irail.be/stations/NMBS/008895802,http://irail.be/stations/NMBS/008895836
P7012,2,1,1,http://irail.be/stations/NMBS/008895836,http://irail.be/stations/NMBS/008814001

IC2214,1,1,1,http://irail.be/stations/NMBS/008812005,http://irail.be/stations/NMBS/008833209
IC2214,1,1,1,http://irail.be/stations/NMBS/008833209,http://irail.be/stations/NMBS/008831401

P7400,2,1,1,http://irail.be/stations/NMBS/008833001,http://irail.be/stations/NMBS/008812005

IC529,2,1,1,http://irail.be/stations/NMBS/008833001,http://irail.be/stations/NMBS/008812005

IC3415,1,1,1,http://irail.be/stations/NMBS/008812005,http://irail.be/stations/NMBS/008811189
IC3415,1,1,1,http://irail.be/stations/NMBS/008811189,http://irail.be/stations/NMBS/008822004
