Non symb;Nom court - FR;Nom court - NL;Nom long - FR;Nom long - NL;GPS_LATITUDE;GPS_LONGITUDE
FNTA1;ANTW-N-TOEA1;ANTW-N-TOEA1;ANTWERPEN-NOORD-TOEGANG A1;ANTWERPEN-NOORD-TOEGANG A1;51,288312;4,409735
FNTA2;ANTW-N-TOEA2;ANTW-N-TOEA2;ANTWERPEN-NOORD-TOEGANG A2;ANTWERPEN-NOORD-TOEGANG A2;51,299922;4,362356
FNDU3;ANTW-N-UITB3;ANTW-N-UITB3;ANTWERPEN-NOORD-UITRIT B3;ANTWERPEN-NOORD-UITRIT B3;51,290783;4,399577
FNDU1;ANTW-N-UITC1;ANTW-N-UITC1;ANTWERPEN-NOORD-UITRIT C1;ANTWERPEN-NOORD-UITRIT C1;51,288373;4,406353
GNS;ANTW-OOST;ANTW-OOST;ANTWERPEN-OOST;ANTWERPEN-OOST;51,206616;4,434799
FNZGQ;ANTW-SCHPT-Q;ANTW-SCHPT-Q;ANTWERPEN-SCHIJNPOORT-BUNDEL Q;ANTWERPEN-SCHIJNPOORT-BUNDEL Q;51,22221;4,445131
FNZD;ANTW-ZUID;ANTW-ZUID;ANTWERPEN-ZUID;ANTWERPEN-ZUID;51,197514;4,392258
FAN;ANZEGEM;ANZEGEM;ANZEGEM;ANZEGEM;50,826208;3,495469
MAP;APPELTERRE;APPELTERRE;APPELTERRE;APPELTERRE;50,81345;3,972025
ARCHE;ARCHENNES;ARCHENNES;ARCHENNES;ARCHENNES;50,754337;4,662366
LL;ARLON;ARLON;ARLON;ARLON;49,679975;5,810614
LAS;ASSE;ASSE;ASSE;ASSE;50,906731;4,208422
MAS;ASSESSE;ASSESSE;ASSESSE;ASSESSE;50,36855;5,021306
ATH;ATH;ATH;ATH;ATH;50,6271;3,776406
MH;ATHUS;ATHUS;ATHUS;ATHUS;49,56387;5,82909
MHFR;ATHUS-FR;ATHUS-FR;ATHUS-FRONTIERE;ATHUS-FRONTIERE;49,551749;5,824932
AUBG;AUBANGE;AUBANGE;AUBANGE;AUBANGE;49,563831;5,798593
AUBGE;AUBANGE-E;AUBANGE-E;AUBANGE-GRIL E;AUBANGE-GRIL E;49,5548;5,8228
AUFRF;AUBANGE-FR-F;AUBANGE-FR-F;AUBANGE-FRONTIERE-SNCF;AUBANGE-FRONTIERE-SNCF;49,54924;5,81639
AUFRL;AUBANGE-FR-L;AUBANGE-FR-L;AUBANGE-FRONTIERE-CFL;AUBANGE-FRONTIERE-CFL;49,549455;5,826307
AUBGZ;AUBANGE-ZG;AUBANGE-ZG;AUBANGE-ZONING;AUBANGE-ZONING;49,55564;5,82572
FVL;AUVELAIS;AUVELAIS;AUVELAIS;AUVELAIS;50,44917;4,6307
AYE;AYE;AYE;AYE;AYE;50,224872;5,300689
MWL;AYWAILLE;AYWAILLE;AYWAILLE;AYWAILLE;50,473014;5,672483
CND;B.CANADA;B.CANADA;ANTWERPEN-W.H.-B.CANADA;ANTWERPEN-W.H.-B.CANADA;51,245317;4,330478
KALIS;B.KALISHOEK;B.KALISHOEK;ANTWERPEN-W.H.-B.KALISHOEK;ANTWERPEN-W.H.-B.KALISHOEK;51,284716;4,266391
LKL;B.KALLO;B.KALLO;ANTWERPEN-W.H.-B.KALLO;ANTWERPEN-W.H.-B.KALLO;51,242766;4,273987
KROMM;B.KROMMENHK;B.KROMMENHK;ANTWERPEN-W.H.-B.KROMMENHOEK;ANTWERPEN-W.H.-B.KROMMENHOEK;51,291264;4,246151
