Non symb;Nom court - FR;Nom court - NL;Nom long - FR;Nom long - NL;GPS_LATITUDE;GPS_LONGITUDE
DBIST;DE BIST;DE BIST;DE BIST;DE BIST;51,144281;4,592797
DHOEK;DE HOEK;DE HOEK;DE HOEK;DE HOEK;50,739181;4,370128
FDK;DE PANNE;DE PANNE;DE PANNE;DE PANNE;51,077288;2,602397
FDKGR;DE PANNE-GR;DE PANNE-GR;DE PANNE-GRENS;DE PANNE-GRENS;51,0761;2,5549
FPT;DE PINTE;DE PINTE;DE PINTE;DE PINTE;50,99735;3,650883
FD;DEINZE;DEINZE;DEINZE;DEINZE;50,97824;3,53494
FDWS;DEINZE-WIJK;DEINZE-WIJK;DEINZE-WIJKSPOREN;DEINZE-WIJKSPOREN;50,97924;3,54056
DELTA;DELTA;DELTA;DELTA;DELTA;50,819281;4,403972
FDD;DENDERLEEUW;DENDERLEEUW;DENDERLEEUW;DENDERLEEUW;50,891925;4,071828
FDR;DENDERMONDE;DENDERMONDE;DENDERMONDE;DENDERMONDE;51,022775;4,101431
GMODS;DEURNESTWG;DEURNESTWG;MORTSEL-DEURNESTEENWEG;MORTSEL-DEURNESTEENWEG;51,186039;4,44383
FDG;DIEGEM;DIEGEM;DIEGEM;DIEGEM;50,890481;4,441931
GDP;DIEPENBEEK;DIEPENBEEK;DIEPENBEEK;DIEPENBEEK;50,911414;5,416061
FDT;DIEST;DIEST;DIEST;DIEST;50,993342;5,050025
FIK;DIKSMUIDE;DIKSMUIDE;DIKSMUIDE;DIKSMUIDE;51,033075;2,869156
FKB;DILBEEK;DILBEEK;DILBEEK;DILBEEK;50,866731;4,243389
NDT;DINANT;DINANT;DINANT;DINANT;50,260724;4,908179
LRR;DOCHERIE;DOCHERIE;DOCHERIE;DOCHERIE;50,426007;4,395413
GDL;DOLHAIN-GIL;DOLHAIN-GIL;DOLHAIN-GILEPPE;DOLHAIN-GILEPPE;50,616374;5,936683
VDL;DOLHAIN-VIC;DOLHAIN-VIC;DOLHAIN-VICINAL;DOLHAIN-VICINAL;50,616711;5,936977
FDO;DRONGEN;DRONGEN;DRONGEN;DRONGEN;51,0474;3,653483
DUDZ;DUDZELE-BL1;DUDZELE-BL1;DUDZELE-BLOK 1;DUDZELE-BLOK 1;51,274615;3,212879
FDF;DUFFEL;DUFFEL;DUFFEL;DUFFEL;51,091633;4,492194
DUINB;DUINBERGEN;DUINBERGEN;DUINBERGEN;DUINBERGEN;51,338108;3,26295
FCS;ECAUSSINNES;ECAUSSINNES;ECAUSSINNES;ECAUSSINNES;50,5621;4,156094
MEE;EDE;EDE;EDE;EDE;50,911203;3,987761
FKLO;EEKLO;EEKLO;EEKLO;EEKLO;51,180567;3,575256
EICHM;EICHEM;EICHEM;EICHEM;EICHEM;50,823878;3,993659
FEI;EINE;EINE;EINE;EINE;50,871008;3,623697
EKENA;EKE-NAZARETH;EKE-NAZARETH;EKE-NAZARETH;EKE-NAZARETH;50,961558;3,627192
LKR;EKEREN;EKEREN;EKEREN;EKEREN;51,277214;4,433047
LKRBR;EKEREN-BRUG;EKEREN-BRUG;EKEREN-BRUG;EKEREN-BRUG;51,28414;4,435175
FNG;ENGHIEN;EDINGEN;ENGHIEN;EDINGEN;50,697198;4,04725
NG;ENGIS;ENGIS;ENGIS;ENGIS;50,582964;5,401992
FPH;EPPEGEM;EPPEGEM;EPPEGEM;EPPEGEM;50,9584;4,457486
FIU;ERBISOEUL;ERBISOEUL;ERBISOEUL;ERBISOEUL;50,507814;3,888717
FRMB;EREMBODEGEM;EREMBODEGEM;EREMBODEGEM;EREMBODEGEM;50,919302;4,055543
MNG;ERNAGE;ERNAGE;ERNAGE;ERNAGE;50,592412;4,667119
FRPM;ERPE-MERE;ERPE-MERE;ERPE-MERE;ERPE-MERE;50,928603;3,962461
MRP;ERPS-KWERPS;ERPS-KWERPS;ERPS-KWERPS;ERPS-KWERPS;50,896506;4,584997
LQ;ERQUELINNES;ERQUELINNES;ERQUELINNES;ERQUELINNES;50,304189;4,113564
LQFR;ERQUELINN-FR;ERQUELINN-FR;ERQUELINNES-FRONTIERE;ERQUELINNES-FRONTIERE;50,302329;4,107929
LQVIL;ERQUEL-VILL;ERQUEL-VILL;ERQUELINNES-VILLAGE;ERQUELINNES-VILLAGE;50,309539;4,130281
LSN;ESNEUX;ESNEUX;ESNEUX;ESNEUX;50,529628;5,572658
ESPFR;ESPLECHIN-FR;ESPLECHIN-FR;ESPLECHIN-FRONTIERE;ESPLECHIN-FRONTIERE;50,57198;3,279416
FES;ESSEN;ESSEN;ESSEN;ESSEN;51,462736;4,451106
FKS;ESSENE-LOMB;ESSENE-LOMB;ESSENE-LOMBEEK;ESSENE-LOMBEEK;50,882447;4,115169
FESGR;ESSEN-GRENS;ESSEN-GRENS;ESSEN-GRENS;ESSEN-GRENS;51,46909;4,44893
MTBES;ETTERB-ACI;ETTERB-CWI;ETTERBEEK-A.C.I.;ETTERBEEK-C.W.I.;50,816251;4,397705
MTB;ETTERBEEK;ETTERBEEK;ETTERBEEK;ETTERBEEK;50,821208;4,390222
REP;EUPEN;EUPEN;EUPEN;EUPEN;50,635164;6,037114
EVERE;EVERE;EVERE;EVERE;EVERE;50,868281;4,4012
FMV;EVERGEM;EVERGEM;EVERGEM;EVERGEM;51,10749;3,701652
FMVSL;EVERGEM-SL;EVERGEM-SL;EVERGEM-SLUIS;EVERGEM-SLUIS;51,091493;3,681112
FMVOD;EVERG-OVERDM;EVERG-OVERDM;EVERGEM-OVERDAM;EVERGEM-OVERDAM;51,094552;3,67771
FZE;EZEMAAL;EZEMAAL;EZEMAAL;EZEMAAL;50,772131;4,994222
FCRBL;F.BLANCHISS;F.BLANCHISS;FAISCEAU BLANCHISSERIE;FAISCEAU BLANCHISSERIE;50,411033;4,431382
FFM;FAMILLEUREUX;FAMILLEUREUX;FAMILLEUREUX;FAMILLEUREUX;50,519364;4,211575
FFC;FARCIENNES;FARCIENNES;FARCIENNES;FARCIENNES;50,435567;4,565091
FARWE;FAR-WEST;FAR-WEST;ANTWERPEN-D.S.-FAR-WEST;ANTWERPEN-D.S.-FAR-WEST;51,256088;4,417441
LFLCS;FELUY-CDS;FELUY-CDS;FELUY-CUL DE SAC;FELUY-CUL DE SAC;50,538086;4,187673
LFLZB;FELUY-ZG-B;FELUY-ZG-B;FELUY-ZONING-FAISCEAU B;FELUY-ZONING-FAISCEAU B;50,547717;4,209394
LFLZ;FELUY-ZONING;FELUY-ZONING;FELUY-ZONING;FELUY-ZONING;50,543363;4,211111
FXH;FEXHE;FEXHE;FEXHE-LE-HAUT-CLOCHER;FEXHE-LE-HAUT-CLOCHER;50,664364;5,397297
FFW;FLAWINNE;FLAWINNE;FLAWINNE;FLAWINNE;50,456244;4,8063
LFA;FLEMALLE-ANN;FLEMALLE-ANN;FLEMALLE-ANNEXE;FLEMALLE-ANNEXE;50,597411;5,473552
NFG;FLEMALLE-GDE;FLEMALLE-GDE;FLEMALLE-GRANDE;FLEMALLE-GRANDE;50,605352;5,480983
LFH;FLEMALLE-HTE;FLEMALLE-HTE;FLEMALLE-HAUTE;FLEMALLE-HAUTE;50,594591;5,456364
LFR;FLEURUS;FLEURUS;FLEURUS;FLEURUS;50,481021;4,542909
FLORE;FLOREE;FLOREE;FLOREE;FLOREE;50,357516;5,056275
FLF;FLOREFFE;FLOREFFE;FLOREFFE;FLOREFFE;50,443733;4,762781
MFL;FLORENVILLE;FLORENVILLE;FLORENVILLE;FLORENVILLE;49,706969;5,331119
GFL;FLORIVAL;FLORIVAL;FLORIVAL;FLORIVAL;50,761503;4,653873
;FL-WA 1 L2;VL-WA 1 L2;FRONT. FLANDRE-WALLONIE 1 L2;GRENS VLAANDEREN-WALLONIE 1 L2;50,750951;4,953812
;FL-WA 1 L94;VL-WA 1 L94;FRONT. FLANDRE-WALLONIE 1 L94;GRENS VLAANDEREN-WALLONIE1 L94;50,721664;4,172251
;FL-WA 2 L2;VL-WA 2 L2;FRONT. FLANDRE-WALLONIE 2 L2;GRENS VLAANDEREN-WALLONIE 2 L2;50,70888;5,10191
;FL-WA 2 L94;VL-WA 2 L94;FRONT. FLANDRE-WALLONIE 2 L94;GRENS VLAANDEREN-WALLONIE2 L94;50,695452;4,015374
;FL-WA 3 L2;VL-WA 3 L2;FRONT. FLANDRE-WALLONIE 3 L2;GRENS VLAANDEREN-WALLONIE 3 L2;50,69939;5,170451
;FL-WA L1;VL-WA L1;FRONT. FLANDRE-WALLONIE L1;GRENS VLAANDEREN-WALLONIE L1;50,706739;4,21213
;FL-WA L106;VL-WA L106;FRONT. FLANDRE-WALLONIE L106;GRENS VLAANDEREN-WALLONIE L106;50,706297;4,212881
;FL-WA L124;VL-WA L124;FRONT. FLANDRE-WALLONIE L124;GRENS VLAANDEREN-WALLONIE L124;50,730509;4,378437
;FL-WA L139;VL-WA L139;FRONT. FLANDRE-WALLONIE L139;GRENS VLAANDEREN-WALLONIE L139;50,796621;4,650636
;FL-WA L161;VL-WA L161;FRONT. FLANDRE-WALLONIE L161;GRENS VLAANDEREN-WALLONIE L161;50,75226;4,481424
;FL-WA L24;VL-WA L24;FRONT. FLANDRE-WALLONIE L24;GRENS VLAANDEREN-WALLONIE L24;50,734146;5,9097
;FL-WA L24/1;VL-WA L24/1;FRONT. FLANDRE-WALLONIE L24/1;GRENS VLAANDEREN-WALLONIE 24/1;50,7491;5,70796
;FL-WA L36;VL-WA L36;FRONT. FLANDRE-WALLONIE L36;GRENS VLAANDEREN-WALLONIE L36;50,718893;5,189238
;FL-WA L69;VL-WA L69;FRONT. FLANDRE-WALLONIE L69;GRENS VLAANDEREN-WALLONIE L69;50,79738;2,95513
;FL-WA L75;VL-WA L75;FRONT. FLANDRE-WALLONIE L75;GRENS VLAANDEREN-WALLONIE L75;50,765734;3,22085
;FL-WA L90;VL-WA L90;FRONT. FLANDRE-WALLONIE L90;GRENS VLAANDEREN-WALLONIE L90;50,747888;3,850429
;FL-WA L96;VL-WA L96;FRONT. FLANDRE-WALLONIE L96;GRENS VLAANDEREN-WALLONIE L96;50,706297;4,212881
NFV;FONTAINE-VAL;FONTAINE-VAL;FONTAINE-VALMONT;FONTAINE-VALMONT;50,320439;4,211775
FFL;FONT-L'EV;FONT-L'EV;FONTAINE-L'EVEQUE;FONTAINE-L'EVEQUE;50,416273;4,322423
LFC;FORCHIES;FORCHIES;FORCHIES;FORCHIES;50,43305;4,323483
FOCW;FOREST-CARW;VORST-CARW;FOREST-CARWASH;VORST-CARWASH;50,816342;4,314022
FOST;FOREST-EST;VORST-OOST;FOREST-EST;VORST-OOST;50,810204;4,320936
FO926;FOREST-M-926;VORST-ZD-926;FOREST-MIDI-VOIES 920/926;VORST-ZUID-SPOREN 920/926;50,810158;4,310025
FO;FOREST-MIDI;VORST-ZUID;FOREST-MIDI;VORST-ZUID;50,810158;4,310025
FOND;FOREST-NORD;VORST-NOORD;FOREST-NORD;VORST-NOORD;50,821527;4,31759
FOVRQ;FOREST-Q.TGV;VORST-P.HST;FOREST-VOITURES-QUAI AT-TGV;VORST-RIJTUIGEN-PERRON TW-HST;50,817706;4,313464
FOVR;FOREST-VOIT;VORST-RIJT;FOREST-VOITURES;VORST-RIJTUIGEN;50,816782;4,31392
MFR;FORRIERES;FORRIERES;FORRIERES;FORRIERES;50,133072;5,276572
GFM;FOURON-BL10;VOEREN-BL10;FOURON-SAINT-MARTIN-BLOCK 10;SINT-MARTENS-VOEREN-BLOK 10;50,747675;5,774863
FRPNT;FRAIPONT;FRAIPONT;FRAIPONT;FRAIPONT;50,565414;5,723475
LRS;FRAMERIES;FRAMERIES;FRAMERIES;FRAMERIES;50,405539;3,906314
FFCMT;FRANCHIMONT;FRANCHIMONT;FRANCHIMONT;FRANCHIMONT;50,525214;5,822594
FNF;FRANIERE;FRANIERE;FRANIERE;FRANIERE;50,439544;4,733547
FNFG;FRANIERE-GAR;FRANIERE-GAR;FRANIERE-GARAGE;FRANIERE-GARAGE;50,437548;4,738595
FFR;FRASNES-ANV;FRASNES-ANV;FRASNES-LEZ-ANVAING;FRASNES-LEZ-ANVAING;50,71544;3,58671
RFROI;FROIDMONT;FROIDMONT;FROIDMONT;FROIDMONT;50,63993;5,597156
GFY;FROYENNES;FROYENNES;FROYENNES;FROYENNES;50,629856;3,355508
FGM;GALMAARDEN;GALMAARDEN;GALMAARDEN;GALMAARDEN;50,743998;3,964938
GANT;GANTAUFET-ZG;GANTAUFET-ZG;GANTAUFET-ZONING;GANTAUFET-ZONING;49,659259;5,605513
GG;GASTUCHE;GASTUCHE;GASTUCHE;GASTUCHE;50,736647;4,649597
FGA;GAVERE-ASPER;GAVERE-ASPER;GAVERE-ASPER;GAVERE-ASPER;50,930558;3,638958
FGRA;G'BERGEN;G'BERGEN;GERAARDSBERGEN;GERAARDSBERGEN;50,771025;3,871956
MGA;G-BIJGAARDEN;G-BIJGAARDEN;GROOT-BIJGAARDEN;GROOT-BIJGAARDEN;50,868231;4,27455
MG;GEDINNE;GEDINNE;GEDINNE;GEDINNE;49,984133;4,977867
MGMAR;GEDINNE-M;GEDINNE-M;GEDINNE-MARCHANDISES;GEDINNE-MARCHANDISES;49,98524;4,97844
LG;GEEL;GEEL;GEEL;GEEL;51,169244;4,989567
LGCT;GEEL-TERMIN;GEEL-TERMIN;GEEL-CONTAINERTERMINAL;GEEL-CONTAINERTERMINAL;51,135672;4,941852
LGB;GEMBLOUX;GEMBLOUX;GEMBLOUX;GEMBLOUX;50,571292;4,690778
MGN;GENDRON-CELL;GENDRON-CELL;GENDRON-CELLES;GENDRON-CELLES;50,210804;4,964598
FKG;GENK;GENK;GENK;GENK;50,967056;5,49803
FKGG;GENK-GOED;GENK-GOED;GENK-GOEDEREN;GENK-GOEDEREN;50,975688;5,470996
FKGGM;GENK-MUSEUM;GENK-MUSEUM;GENK-GOEDEREN-MUSEUMLIJN;GENK-GOEDEREN-MUSEUMLIJN;;
FKGLF;GENK-ZD-FORD;GENK-ZD-FORD;GENK-ZUID-L.O.-FORD;GENK-ZUID-L.O.-FORD;50,924814;5,504945
FKGRH;GENK-Z-HAVEN;GENK-Z-HAVEN;GENK-ZUID-R.O.-HAVEN;GENK-ZUID-R.O.-HAVEN;50,942434;5,489875
FKGL2;GENK-ZLO-232;GENK-ZLO-232;GENK-ZUID-L.O.-L232;GENK-ZUID-L.O.-L232;50,934889;5,47798
FKGR0;GENK-ZRO-230;GENK-ZRO-230;GENK-ZUID-R.O.-L230;GENK-ZUID-R.O.-L230;50,938919;5,499057
FKGR1;GENK-ZRO-231;GENK-ZRO-231;GENK-ZUID-R.O.-L231;GENK-ZUID-R.O.-L231;50,938472;5,478097
GENLY;GENLY;GENLY;GENLY;GENLY;50,390639;3,911636
FUGW;GENTBR-PCW;GENTBR-PCW;GENTBRUGGE-PERRON C.W.;GENTBRUGGE-PERRON C.W.;51,75162;3,75162
FUGE;GENTBRUGGE;GENTBRUGGE;GENTBRUGGE;GENTBRUGGE;51,038714;3,755975
FGDM;GENT-DAMP;GENT-DAMP;GENT-DAMPOORT;GENT-DAMPOORT;51,05665;3,740491
FGND;GENT-NOORD;GENT-NOORD;GENT-NOORD;GENT-NOORD;51,162726;3,819722
RODEH;GENT-RODENH;GENT-RODENH;GENT-RODENHUIZE;GENT-RODENHUIZE;51,129802;3,784443
RSNBR;GENT-SNEPBR;GENT-SNEPBR;GENT-ROOSTER SNEPBRUG;GENT-ROOSTER SNEPBRUG;51,040174;3,688064
FGSP;GENT-ST-P;GENT-ST-P;GENT-SINT-PIETERS;GENT-SINT-PIETERS;51,035763;3,710232
FGSPC;GENT-ST-P-C;GENT-ST-P-C;GENT-SINT-PIETERS-BUNDEL C;GENT-SINT-PIETERS-BUNDEL C;51,036773;3,704646
FGZH;GENT-ZEEH;GENT-ZEEH;GENT-ZEEHAVEN;GENT-ZEEHAVEN;51,065981;3,742664
MGV;GENVAL;GENVAL;GENVAL;GENVAL;50,726408;4,513725
FSSG;GERONSTERE;GERONSTERE;SPA-GERONSTERE;SPA-GERONSTERE;50,489296;5,866227
FGS;GHISLENGHIEN;GHISLENGHIEN;GHISLENGHIEN;GHISLENGHIEN;50,658019;3,857336
FIH;GHLIN;GHLIN;GHLIN;GHLIN;50,487408;3,906342
LGL;GLONS;GLONS;GLONS;GLONS;50,750543;5,535468
FDI;GODARVILLE;GODARVILLE;GODARVILLE;GODARVILLE;50,4928;4,290314
NGD;GODINNE;GODINNE;GODINNE;GODINNE;50,348908;4,869961
FOO;GONTRODE;GONTRODE;GONTRODE;GONTRODE;50,979844;3,801559
FVY;GOUVY;GOUVY;GOUVY;GOUVY;50,189414;5,953908
FVYFR;GOUVY-FR;GOUVY-FR;GOUVY-FRONTIERE;GOUVY-FRONTIERE;50,171653;5,968613
FGP;GOUY-PIETON;GOUY-PIETON;GOUY-LEZ-PIETON;GOUY-LEZ-PIETON;50,4957;4,325064
MGD;GRAIDE;GRAIDE;GRAIDE;GRAIDE;49,933789;5,043708
MDL;GROENENDAAL;GROENENDAAL;GROENENDAAL;GROENENDAAL;50,76614;4,44935
MDLWS;GROENEND-WSP;GROENEND-WSP;GROENENDAAL-WIJKSPOOR;GROENENDAAL-WIJKSPOOR;50,76961;4,44179
FCVGH;GROENENHOEK;GROENENHOEK;GROENENHOEK-WIJKBUNDEL;GROENENHOEK-WIJKBUNDEL;51,195308;4,436944
GRLND;GROENLAND;GROENLAND;ANTWERPEN-D.S.-GROENLAND;ANTWERPEN-D.S.-GROENLAND;51,257448;4,372282
GGDOK;GROOT DOK;GROOT DOK;GENT-ZEEHAVEN-GROOT DOK;GENT-ZEEHAVEN-GROOT DOK;51,08236;3,733661
FMRN;GROUPE NORD;GROUPE NORD;MARCHIENNE-GROUPE NORD;MARCHIENNE-GROUPE NORD;50,412749;4,394077
MGP;GRUPONT;GRUPONT;GRUPONT;GRUPONT;50,090622;5,280228
FAT;HAACHT;HAACHT;HAACHT;HAACHT;50,966238;4,613314
FATWS;HAACHT-WSP;HAACHT-WSP;HAACHT-WIJKSPOOR;HAACHT-WIJKSPOOR;50,964298;4,621733
FHA;HAALTERT;HAALTERT;HAALTERT;HAALTERT;50,907375;4,021797
MHB;HABAY;HABAY;HABAY;HABAY;49,718619;5,632569
HAINI;HAININ;HAININ;HAININ;HAININ;50,428042;3,766787
MHZ;HALANZY;HALANZY;HALANZY;HALANZY;49,555961;5,742228
FH;HALLE;HALLE;HALLE;HALLE;50,7332;4,2395
FHBV;HALLE-GOED;HALLE-GOED;HALLE-GOEDEREN;HALLE-GOEDEREN;50,738879;4,244359
FHRIN;HALLE-RING;HALLE-RING;HALLE-RING;HALLE-RING;50,729307;4,235449
HAM;HAM;HAM;HAM;HAM;51,086021;5,136628
HAMB;HAMBOS;HAMBOS;HAMBOS;HAMBOS;50,944247;4,663011
LHM;HAMOIR;HAMOIR;HAMOIR;HAMOIR;50,428342;5,53373
GHAGR;HAMONT-GRENS;HAMONT-GRENS;HAMONT-GRENS;HAMONT-GRENS;51,247405;5,552368
LHH;HAM-S-HEURE;HAM-S-HEURE;HAM-SUR-HEURE;HAM-SUR-HEURE;50,320539;4,405086
MHM;HAM-S-SAMBRE;HAM-S-SAMBRE;HAM-SUR-SAMBRE;HAM-SUR-SAMBRE;50,452852;4,672923
FHK;HANSBEKE;HANSBEKE;HANSBEKE;HANSBEKE;51,072708;3,537447
FRH;HARCHIES;HARCHIES;HARCHIES;HARCHIES;50,481939;3,699
FHL;HARELBEKE;HARELBEKE;HARELBEKE;HARELBEKE;50,856308;3,314617
GHT;HAREN;HAREN;HAREN;HAREN;50,889231;4,419825
HARZ;HAREN-SUD;HAREN-ZUID;HAREN-SUD;HAREN-ZUID;50,889567;4,415109
WDT35;HAS-AFL.35;HAS-AFL.35;HASSELT-AFLOS L.35;HASSELT-AFLOS L.35;50,936933;5,30283
FHS35;HAS-AFL.35/1;HAS-AFL.35/1;HASSELT-AFLOS L.35/1;HASSELT-AFLOS L.35/1;50,936926;5,303707
FHS;HASSELT;HASSELT;HASSELT;HASSELT;50,931122;5,32618
FHSA;HASSELT-AFW;HASSELT-AFW;HASSELT-AFWISSELING;HASSELT-AFWISSELING;50,93739;5,31186
FHSL;HASSELT-LCI;HASSELT-LCI;HASSELT-L.C.I.;HASSELT-L.C.I.;50,935904;5,308778
FHSW;HASSELT-TW;HASSELT-TW;HASSELT-T.W.;HASSELT-T.W.;50,936768;5,306687
MHT;HATRIVAL-B70;HATRIVAL-B70;HATRIVAL-BLOCK 70;HATRIVAL-BLOCK 70;49,958087;5,330427
HAUFL;HAUTE-FLONE;HAUTE-FLONE;HAUTE-FLONE;HAUTE-FLONE;50,554331;5,331097
MHV;HAVERSIN;HAVERSIN;HAVERSIN;HAVERSIN;50,249672;5,194081
MHVG;HAVERSIN-GAR;HAVERSIN-GAR;HAVERSIN-GARAGE;HAVERSIN-GARAGE;50,2505;5,1931
FHV;HAVINNES;HAVINNES;HAVINNES;HAVINNES;50,614789;3,46076
LHR;HAVRE;HAVRE;HAVRE;HAVRE;50,470739;4,058311
HAYET;HAYETTES;HAYETTES;HAYETTES;HAYETTES;50,447638;4,219355
MID;HEIDE;HEIDE;HEIDE;HEIDE;51,365344;4,461131
RHKLC;HEIKE-K/L/C;HEIKE-K/L/C;HEIKE-ROOSTER K/L/C;HEIKE-ROOSTER K/L/C;51,020131;4,400847
FHI;HEIST;HEIST;HEIST;HEIST;51,334008;3,240611
GHO;HEIST-BERG;HEIST-BERG;HEIST-OP-DEN-BERG;HEIST-OP-DEN-BERG;51,073517;4,709361
LEZ;HEIZIJDE;HEIZIJDE;HEIZIJDE;HEIZIJDE;50,988814;4,157117
LKM;HEMIKSEM;HEMIKSEM;HEMIKSEM;HEMIKSEM;51,136393;4,338527
FNY;HENNUYERES;HENNUYERES;HENNUYERES;HENNUYERES;50,651008;4,175892
FNYG;HENNUYERES-G;HENNUYERES-G;HENNUYERES-GARAGE;HENNUYERES-GARAGE;50,647873;4,173639
FET;HERENT;HERENT;HERENT;HERENT;50,903528;4,672189
FHT;HERENTALS;HERENTALS;HERENTALS;HERENTALS;51,181;4,828608
REG;HERGENRATH;HERGENRATH;HERGENRATH;HERGENRATH;50,709192;6,042953
REGFR;HERGENR-FR;HERGENR-FR;HERGENRATH-FRONTIERE;HERGENRATH-FRONTIERE;50,718955;6,041269
NH;HERMALLE-HUY;HERMALLE-HUY;HERMALLE-SOUS-HUY;HERMALLE-SOUS-HUY;50,572051;5,379373
FRE;HERNE;HERNE;HERNE;HERNE;50,723701;4,014376
FXS;HERSEAUX;HERSEAUX;HERSEAUX;HERSEAUX;50,71425;3,244758
LHS;HERSTAL;HERSTAL;HERSTAL;HERSTAL;50,6604;5,62235
FHZ;HERZELE;HERZELE;HERZELE;HERZELE;50,897203;3,879358
MHD;HEUSDEN;HEUSDEN;HEUSDEN;HEUSDEN;51,038314;5,280683
HEVER;HEVER;HEVER;HEVER;HEVER;50,996904;4,539585
GHE;HEVERLEE;HEVERLEE;HEVERLEE;HEVERLEE;50,862442;4,694414
GHEKL;HEVERLEE-K/L;HEVERLEE-K/L;HEVERLEE-ROOSTER K/L;HEVERLEE-ROOSTER K/L;50,862929;4,701852
HILGM;HILLEGEM;HILLEGEM;HILLEGEM;HILLEGEM;50,891303;3,857472
FOE;HOBOKEN-POLD;HOBOKEN-POLD;HOBOKEN-POLDER;HOBOKEN-POLDER;51,183414;4,348442
RHD;HOEGAARDEN;HOEGAARDEN;HOEGAARDEN;HOEGAARDEN;50,788749;4,908164
FOY;HOEILAART;HOEILAART;HOEILAART;HOEILAART;50,760158;4,467406
FHF;HOFSTADE;HOFSTADE;HOFSTADE;HOFSTADE;50,988661;4,498342
HOLKN;HOLLEKEN;HOLLEKEN;HOLLEKEN;HOLLEKEN;50,767081;4,354914
HONY;HONY;HONY;HONY;HONY;50,540336;5,573494
HOURG;HOURAING;HOURAING;HOURAING;HOURAING;50,702879;3,835269
HOURP;HOURPES;HOURPES;HOURPES;HOURPES;50,363689;4,308742
MHY;HOUYET;HOUYET;HOUYET;HOUYET;50,190339;5,005861
MHO;HOVE;HOVE;HOVE;HOVE;51,154114;4,465469
HUIZ;HUIZINGEN;HUIZINGEN;HUIZINGEN;HUIZINGEN;50,75171;4,265581
LY;HUY;HUY;HUY;HUY;50,527239;5,234206
IDDGM;IDDERGEM;IDDERGEM;IDDERGEM;IDDERGEM;50,876855;4,068503
FID;IDEGEM;IDEGEM;IDEGEM;IDEGEM;50,801704;3,921411
FI;IEPER;IEPER;IEPER;IEPER;50,8474;2,876589
FIV;IEPER-GOED;IEPER-GOED;IEPER-GOEDEREN;IEPER-GOEDEREN;50,841891;2,881918
IJSLD;IJSLAND;IJSLAND;ANTWERPEN-D.S.-IJSLAND;ANTWERPEN-D.S.-IJSLAND;51,244202;4,367738
IZAVL;IN ZANDVLIET;IN ZANDVLIET;ANTWERPEN-D.S.-INRIT ZANDVLIET;ANTWERPEN-D.S.-INRIT ZANDVLIET;51,334798;4,335641
FNM;INGELMUNSTER;INGELMUNSTER;INGELMUNSTER;INGELMUNSTER;50,914758;3,254289
LZG;IZEGEM;IZEGEM;IZEGEM;IZEGEM;50,920958;3,21335
LZGG;IZEGEM-GOED;IZEGEM-GOED;IZEGEM-GOEDEREN;IZEGEM-GOEDEREN;50,92092;3,2197
FGB;JABBEKE;JABBEKE;JABBEKE;JABBEKE;51,200448;3,035415
NJ;JAMBES;JAMBES;JAMBES;JAMBES;50,454014;4,87536
NJEST;JAMBES-EST;JAMBES-EST;JAMBES-EST;JAMBES-EST;50,454804;4,880256
GJ;JAMIOULX;JAMIOULX;JAMIOULX;JAMIOULX;50,353039;4,410997
JAVA;JAVA;JAVA;JAVA;JAVA;50,513194;5,161461
FJM;JEMAPPES;JEMAPPES;JEMAPPES;JEMAPPES;50,452289;3,885189
LJ;JEMELLE;JEMELLE;JEMELLE;JEMELLE;50,160472;5,266375
FJSMA;JEMEPPE/S-M;JEMEPPE/S-M;JEMEPPE-SUR-SAMBRE-MARCHANDISE;JEMEPPE-SUR-SAMBRE-MARCHANDISE;50,44791;4,65788
LJF;JEMEPPE-FR.M;JEMEPPE-FR.M;JEMEPPE-FROIDMONT;JEMEPPE-FROIDMONT;50,459127;4,669061
LJP;JEMEPPE-S-M;JEMEPPE-S-M;JEMEPPE-SUR-MEUSE;JEMEPPE-SUR-MEUSE;50,61843;5,49779
FJS;JEMEPPE-S-S;JEMEPPE-S-S;JEMEPPE-SUR-SAMBRE;JEMEPPE-SUR-SAMBRE;50,450949;4,662626
FJT;JETTE;JETTE;JETTE;JETTE;50,88091;4,328463
FJ;JUPILLE;JUPILLE;JUPILLE;JUPILLE;50,658229;5,652018
FJR;JURBISE;JURBISE;JURBISE;JURBISE;50,530503;3,910686
FJL;JUSLENVILLE;JUSLENVILLE;JUSLENVILLE;JUSLENVILLE;50,544514;5,810194
FKTH;KALMTHOUT;KALMTHOUT;KALMTHOUT;KALMTHOUT;51,389744;4,466942
KDKB2;KANAALDOK B2;KANAALDOK B2;ANTWERPEN-D.S.-KANAALDOK B2;ANTWERPEN-D.S.-KANAALDOK B2;51,32144;4,286653
FKPZK;KAP-B-ZEEKAN;KAP-B-ZEEKAN;KAPELLE-OP-DEN-BOS-ZEEKANAAL;KAPELLE-OP-DEN-BOS-ZEEKANAAL;51,011062;4,36473
LKP;KAPELLEN;KAPELLEN;KAPELLEN;KAPELLEN;51,313375;4,433081
FKP;KAP-O-D-BOS;KAP-O-D-BOS;KAPELLE-OP-DEN-BOS;KAPELLE-OP-DEN-BOS;51,010795;4,358819
LEK;KESSEL;KESSEL;KESSEL;KESSEL;51,151056;4,618458
KIEWI;KIEWIT;KIEWIT;KIEWIT;KIEWIT;50,954364;5,350553
